Feature,flaubert_base_cased,flaubert_base_uncased,flaubert_large_uncased,flaubert_small_cased,Mean Importance
Dim 752,0.024323322209862972,0.04097394728870054,0.007428624397478714,,0.024241964632014074
Dim 668,0.02827586206896573,0.02815358982126649,0.00944938820912129,,0.021959613366451167
Dim 664,0.03448832035595122,0.018565586186004443,0.004493882091212516,,0.01918259621105606
Dim 630,0.018248053392658704,0.036437443199030806,0.002773451983685542,,0.01915298285845835
Dim 256,0.0087004078605859,0.03060284762193302,0.012549128661475782,0.020925101965146617,0.01819437152728533
Dim 587,0.04535965888023742,0.007512874886398059,0.0016407119021134388,,0.018171081889582972
Dim 350,0.0203633667037451,0.006048167222053996,0.01408231368186886,0.03128105302187634,0.017943725157386074
Dim 214,0.004957360029662671,0.028638291426840545,0.004857248794957426,0.0327586206896553,0.017802880235278984
Dim 717,0.02324063774564349,0.026860042411390686,0.0031386725991842538,,0.017746450918739474
Dim 994,,,0.01764553207267355,,0.01764553207267355
Dim 996,,,0.017573229514275323,,0.017573229514275323
Dim 570,0.022395253985910402,0.024194183580733303,0.00535224323322218,,0.017313893599955294
Dim 644,0.018177604746014264,0.028089972735534874,0.005113088616981903,,0.01712688869951035
Dim 177,0.01748980348535426,0.022962738564071696,0.007892102335928875,0.019210233592881175,0.016888719494559
Dim 27,0.018177604746014264,0.03385337776431418,0.01131813125695222,0.0028680014831293605,0.016554278812602508
Dim 543,0.025420837968112883,0.015842169039685158,0.007877271041898453,,0.016380092683232168
Dim 468,0.012639970337412007,0.01991366252650729,0.0037337782721542593,0.02908787541713038,0.016343821638300983
Dim 585,0.011948461253244396,0.029101787337170747,0.007958843159065691,,0.016336363916493613
Dim 649,0.021768631813125845,0.024733414116934443,0.002360029662588032,,0.016287358530882774
Dim 7,0.02479050797182072,0.009456225386246637,0.004666295884315955,0.02607156099369686,0.01624614755902004
Dim 632,0.006531331108639327,0.031143592850651484,0.010665554319614435,,0.01611349275963508
Dim 175,0.036073414905450726,0.008764010905786143,0.0016444197256210405,0.017143121987393567,0.01590624188106287
Dim 563,0.019623655913978716,0.023742805210542416,0.0043325917686318615,,0.015899684297717664
Dim 100,0.005941787170930762,0.020545289306271048,0.0029996292176492057,0.034008157211716884,0.015873715726641976
Dim 67,0.013581757508342706,0.024980308997273753,0.01799962921764938,0.006662958843159147,0.015806163641606245
Dim 310,0.01906006674082331,0.02144804604665265,0.008680014831294068,0.013622543566926312,0.015702667796424083
Dim 771,,,0.015591397849462492,,0.015591397849462492
Dim 382,0.033422321097516056,0.019921235989094444,0.004467927326659302,0.004436410826844673,0.015561973810028617
Dim 198,0.010279940674823943,0.018795819448652145,0.0023730070448646323,0.030170559881349823,0.015404831762422636
Dim 36,0.028870967741935705,0.013635262041805674,0.0023433444568038255,0.016579532814238195,0.01535727676369585
Dim 491,0.018518724508713523,0.022856710087852335,0.005795328142380517,0.014074898034853662,0.01531141519345001
Dim 212,0.03783833889506875,0.016390487730990763,0.003379681127178337,0.003487208008898777,0.015273928940534157
Dim 680,0.019178717093066556,0.02227052408361129,0.004130515387467596,,0.015193252188048482
Dim 325,0.01364664441972573,0.021855498333838454,0.0020615498702261513,0.022703003337041377,0.015066673990207929
Dim 731,0.008978494623655962,0.03359739472887032,0.002087504634779358,,0.014887797995768547
Dim 161,0.012343344456803912,0.024438049076037693,0.0030163144234334103,0.019525398591027254,0.014830776636825568
Dim 96,0.01592510196514662,0.02397455316570759,0.003498331479421579,0.015663700407860744,0.014765421754534134
Dim 725,0.01570263255469054,0.016560133292941762,0.01192806822395259,,0.014730278023861633
Dim 147,0.014948090470893745,0.02456225386246613,0.0028717093066369663,0.01639970337411953,0.014695439253529091
Dim 21,0.029386355209492183,0.018383823083914185,0.0018001483129402819,0.008891360771227349,0.014615421844393498
Dim 744,0.02810901001112365,0.007673432293244504,0.008036707452725302,,0.014606383252364486
Dim 488,0.006357063403782066,0.019294153286882953,0.006166110493140614,0.026579532814238166,0.014599214999510949
Dim 736,0.018279569892473254,0.013147531051196757,0.012315535780496907,,0.014580878908055638
Dim 261,0.016053021876158854,0.01502726446531375,0.006167964404894415,0.0209751575824993,0.01455585208221658
Dim 368,0.026245828698554123,0.019954559224477603,0.009082313681868794,0.002910641453466775,0.014548335764591825
Dim 300,0.03233592880978888,0.008624659194183591,0.003832035595105696,0.013355580274379022,0.014537050968364298
Dim 600,0.018374119391917125,0.01916086034535005,0.005923248053392761,,0.014486075930219978
Dim 335,0.004927697441601852,0.015631626779763888,0.009705228031145754,0.02766221727845768,0.014481692382742294
Dim 428,0.02896180941787186,0.010711905483187019,0.008941416388579934,0.009113830181683416,0.014432240367830557
Dim 130,0.01113644790507977,0.02552862768857944,0.0034890619206525775,0.017439747868001627,0.014398471345578354
Dim 376,0.007504634779384567,0.022238715540745427,0.004577308120133533,0.022955135335558204,0.014318948443955433
Dim 250,0.010522803114571806,0.011487428052105498,0.0030867630700778326,0.03210233592880997,0.014299832541391276
Dim 862,,,0.014271412680756494,,0.014271412680756494
Dim 565,0.022400815721171856,0.018064222962738775,0.002319243604004419,,0.014261427429305017
Dim 390,0.006998516870597019,0.007691608603453531,0.00811086392287733,0.034175009269558985,0.014243999666621716
Dim 637,0.02755098257322966,0.006908512571947954,0.008166481275491334,,0.01420865880688965
Dim 674,0.025342973674453217,0.014280521054226192,0.002871709306636967,,0.014165068011772126
Dim 223,0.027159807193177773,0.023267191760072876,0.0034241750092695567,0.002793845012977345,0.014161254743874387
Dim 767,0.0112791991101224,0.022983944259315534,0.008088616981831711,,0.014117253450423216
Dim 269,0.016197626992955304,0.010475613450469662,0.0026677790137189113,0.02705413422321112,0.01409878842008875
Dim 57,0.022078235076010554,0.020851257194789693,0.005437523173896996,0.007714126807564014,0.014020285563065314
Dim 800,,,0.013978494623656015,,0.013978494623656015
Dim 374,0.004556915090841741,0.03538473189942469,0.008066370040786091,0.007897664071190278,0.013976420275560699
Dim 253,0.0254894327030035,0.013891245077249492,0.003353726362625128,0.013094178717093142,0.013957145714992814
Dim 531,0.030253985910270908,0.007914268403514125,0.003639228772710424,,0.013935827695498485
Dim 434,0.010656284760845451,0.009830354438049143,0.010139043381535075,0.025074156470152157,0.013924959762645458
Dim 133,0.017651093807934892,0.018689790972432743,0.0019132369299221098,0.017328513162773614,0.013895658718265841
Dim 209,0.0201946607341492,0.00869433504998487,0.008616981831664856,0.017901371894697975,0.013851837377624226
Dim 159,0.013715239154616355,0.032450772493183976,0.00215980719317758,0.006994809047089433,0.013830156972016837
Dim 907,,,0.013813496477567725,,0.013813496477567725
Dim 210,0.019658880237300887,0.01570433202060003,0.004165739710789814,0.015721171672228543,0.013812530910229819
Dim 220,0.01623841305153894,0.011473795819448804,0.0016611049314052436,0.025834260289210317,0.013801893522900826
Dim 167,0.01842788283277732,0.016417752196304317,0.006522061549870317,0.013835743418613346,0.013800859999391325
Dim 195,0.00884130515387473,0.013879127537110137,0.0030348535409714175,0.02941045606229162,0.013791435573561977
Dim 470,0.016900259547645673,0.011464707664344284,0.004221357063403825,0.022428624397478853,0.01375373716821816
Dim 638,0.013748609566184743,0.025192365949712345,0.002148683722654774,,0.013696553079517289
Dim 165,0.020113088616982,0.007647682520448396,0.007686318131257016,0.01924731182795718,0.01367360027416115
Dim 538,0.021946607341490735,0.01500000000000024,0.004073044123099768,,0.013673217154863582
Dim 296,0.018978494623656108,0.013192971826719371,0.003205413422321071,0.019008157211716906,0.013596259271103365
Dim 82,0.011321839080459832,0.029406240533171996,0.006722284019280747,0.0068613274008157855,0.013577922758432089
Dim 265,0.017958843159065773,0.006696455619509309,0.0020893585465331594,0.027411939191694636,0.01353914912920072
Dim 605,0.013715239154616381,0.02356104210845214,0.0032832777159807042,,0.01351985299301641
Dim 596,0.009301075268817259,0.02959709179036673,0.0016054875787912314,,0.013501218212658407
Dim 356,0.017198739340007596,0.01849439563768576,0.003930292918057134,0.014364108268446522,0.013496884041049253
Dim 614,0.006377456433073881,0.03234474401696485,0.0016852057842046504,,0.013469135411414458
Dim 599,0.017128290693363187,0.021410178733717283,0.0018075639599554848,,0.013448677795678654
Dim 345,0.018540971449759112,0.01560133292941554,0.003668891360771227,0.015954764553207438,0.013441490073288327
Dim 702,0.025787912495365373,0.009909118448954911,0.004493882091212515,,0.013396971011844267
Dim 625,0.02861698183166494,0.009628900333232372,0.0018613274008157,,0.013369069855237671
Dim 153,0.020220615498702434,0.01231747955165112,0.006106785317018993,0.014547645532072807,0.013298131474861339
Dim 171,0.014414163885799173,0.023558012723417333,0.004191694475343006,0.010884315906562862,0.013262046747780594
Dim 315,0.016344086021505548,0.018748863980612134,0.0017167222840192582,0.016065999258435437,0.013218917886143093
Dim 774,,,0.013136818687430557,,0.013136818687430557
Dim 155,0.02276232851316292,0.013238412602241912,0.0072803114571746985,0.009221357063403813,0.013125602408995837
Dim 58,0.01624582869855406,0.021475310511966283,0.00621060437523183,0.008520578420467237,0.01311308050155485
Dim 626,0.006518353726362719,0.030940624053317337,0.0018798665183537037,,0.013112948099344586
Dim 577,0.014994438264738745,0.022368979097243485,0.0018835743418613047,,0.013082330567947845
Dim 228,0.017398961809418058,0.007199333535292378,0.009073044123099781,0.018637374860956783,0.01307717858219175
Dim 658,0.017994067482388014,0.016776734322932654,0.004319614386355245,,0.013030138730558638
Dim 698,0.019657026325547063,0.014680399878824796,0.004721913236929986,,0.01301977981376728
Dim 735,0.005285502410085355,0.032040290820963546,0.0016166110493140322,,0.012980801426787642
Dim 292,0.005161290322580729,0.025878521660103154,0.006872450871338591,0.013965517241379429,0.012969445023850475
Dim 283,0.03737115313311105,0.00759315358982129,0.0024119391916944443,0.004492028179458703,0.01296706852352137
Dim 1022,,,0.012962550982573299,,0.012962550982573299
Dim 156,0.005305895439377167,0.027617388670100242,0.004060066740823159,0.01481831664812765,0.012950416874607056
Dim 135,0.02645532072673349,0.020368070281732993,0.0022784575454208103,0.0026992955135335174,0.012950286016855203
Dim 91,0.0272191323692993,0.005763405028779238,0.004623655913978558,0.014186132740081714,0.012948081513034702
Dim 166,0.02123285131627748,0.021682823386852672,0.006701890989988958,0.0021134593993325634,0.01293275627311292
Dim 68,0.015202076381164399,0.024053317176613378,0.005153874675565524,0.00730255839822032,0.012927956657890904
Dim 157,0.02651279199110138,0.010607391699485106,0.003081201334816436,0.011392287727104237,0.01289841818812679
Dim 748,0.018943270300333857,0.01779460769463822,0.001955876900259524,,0.012897918298410534
Dim 394,0.024538375973303793,0.018030899727355516,0.003904338153503911,0.00503707823507608,0.012877673022309825
Dim 593,0.008852428624397517,0.01871705543774634,0.010913978494623708,,0.012827820852255855
Dim 262,0.015018539117538159,0.005711905483186991,0.015372636262514052,0.015205784204671986,0.012827216266977798
Dim 162,0.006967000370782429,0.010677067555286362,0.0018223952539858873,0.03175750834260314,0.012805992880664453
Dim 746,0.022986651835372848,0.0095486216298092,0.005789766407119117,,0.012775013290767056
Dim 461,0.022608453837597495,0.011184489548621715,0.008318502039302995,0.008878383388950728,0.012747457203618234
