Feature,flaubert_base_cased,flaubert_base_uncased,flaubert_large_uncased,flaubert_small_cased,Mean Importance
Dim 752,0.02366703745,0.04136170857,0.007159807193,,0.02406285107
Dim 668,0.02779569892,0.02781732808,0.009649610679,,0.02175421256
Dim 664,0.0348257323,0.01835655862,0.004549499444,,0.01924393012
Dim 630,0.01805710048,0.03682671918,0.002736373749,,0.01920673114
Dim 256,0.008724508713,0.03091335959,0.01250092696,0.0214034112,0.01838555161
Dim 587,0.04509269559,0.007479551651,0.001826103077,,0.01813278344
Dim 996,,,0.01806637004,,0.01806637004
Dim 350,0.02104375232,0.005761890336,0.0145272525,0.03073785688,0.01801768801
Dim 994,,,0.01793103448,,0.01793103448
Dim 717,0.02387467557,0.0266192063,0.003021876159,,0.01783858601
Dim 214,0.004994438265,0.02887003938,0.004868372265,0.03253058954,0.01781585986
Dim 570,0.02210233593,0.02477128143,0.005583982202,,0.01748586652
Dim 644,0.01884315907,0.02835352923,0.00495736003,,0.01738468278
Dim 177,0.01794586578,0.02340654347,0.007710418984,0.01908972933,0.01703813939
Dim 27,0.01822580645,0.0347985459,0.01180756396,0.002797552836,0.01690736729
Dim 468,0.01298665184,0.02029082096,0.003631813126,0.02928253615,0.01654795552
Dim 585,0.01222284019,0.02880187822,0.007762328513,,0.01626234897
Dim 632,0.006449758991,0.03141017873,0.01076381164,,0.01620791646
Dim 7,0.02454022989,0.009403211148,0.004477196885,0.02622728958,0.01616198187
Dim 543,0.02503337041,0.01547258407,0.007749351131,,0.01608510187
Dim 563,0.02015387468,0.02360193881,0.004336299592,,0.01603070436
Dim 67,0.01387096774,0.02500454408,0.01809974045,0.006738969225,0.01592855537
Dim 649,0.02150166852,0.02381096637,0.002437893956,,0.01591684295
Dim 100,0.006462736374,0.02043017267,0.002779013719,0.03399147201,0.01591584869
Dim 175,0.03642195032,0.008891245077,0.001523915462,0.01659621802,0.01585833222
Dim 771,,,0.01567296997,,0.01567296997
Dim 382,0.03381535039,0.01970766434,0.004223210975,0.004404894327,0.01553778001
Dim 310,0.01888765295,0.0212344744,0.008754171301,0.01311642566,0.01549818108
Dim 36,0.0287541713,0.01405331718,0.002180200222,0.01686503522,0.01546318098
Dim 491,0.01810901001,0.02307331112,0.005880608083,0.01435854653,0.01535536894
Dim 198,0.01019095291,0.01830808846,0.002233963663,0.03009084168,0.01520596168
Dim 212,0.03759918428,0.01594062405,0.003476084538,0.003578049685,0.01514848564
