,"('flaubert_base_cased', 1)","('flaubert_base_uncased', 1)","('flaubert_large_uncased', 1)","('flaubert_small_cased', 1)"
Dim 0,0.0182734437626473,0.02365886281166979,0.0210062849507211,0.012220042877561373
Dim 1,0.014570277079403659,0.015648554476911505,0.014639253602990576,0.013868213919165913
Dim 2,0.009664574770230801,0.02658603721228745,0.011640461477716085,0.0388651931793274
Dim 3,0.03007449074355116,0.012800787796554197,0.015618915203867201,0.020199214526422846
Dim 4,0.02077331592621886,0.01637174226631053,0.01269497104357845,0.019468182371114685
Dim 5,0.01172271207958722,0.013840695558812729,0.015059824148714126,0.019985984129945268
Dim 6,0.021074314439614748,0.01630585453570442,0.01513583241965413,0.016048219140841015
Dim 7,0.014928550156321592,0.0175230676097669,0.015797968238903566,0.0181434256083315
Dim 8,0.01383302360388096,0.02340381849031865,0.010155596632831243,0.021284082571302255
Dim 9,0.01065950382631337,0.030046797507665365,0.01273086492706722,0.015198817827453312
Dim 10,0.026826510208012817,0.018291628928860926,0.016695802741940786,0.01246148750983111
Dim 11,0.012605355948504085,0.014168323979857308,0.01519702355080508,0.01840077299472207
Dim 12,0.014014052824458367,0.027889332943956086,0.013664292781823845,0.01404646841082623
Dim 13,0.02853493845456282,0.02415640395458964,0.02298383319034203,0.011899051457739595
Dim 14,0.013228215377195604,0.02533275578724794,0.0163054498495591,0.028862554460708494
Dim 15,0.028301033395868813,0.05084574607593287,0.013609222591781827,0.015336541496116334
Dim 16,0.015381971145253965,0.016541344564298194,0.013508788043603838,0.018623369238069842
Dim 17,0.01795569900997158,0.03808740788712805,0.022683477310137732,0.030066093728668565
Dim 18,0.010561176967771776,0.01497960534624158,0.013129888717514018,0.023478458757457504
Dim 19,0.013315887999121938,0.03010200496761954,0.010778099430906997,0.02594332500613683
Dim 20,0.014689872837536491,0.015083313019214317,0.017032170773630437,0.01305645707199397
Dim 21,0.013964847402070667,0.024912759540078044,0.022987117959647106,0.013845750000606448
Dim 22,0.016078108092495737,0.015020163120940584,0.013049729413335672,0.021003014334184583
Dim 23,0.01814376547506284,0.014726635255146269,0.013655287849609624,0.030633014479301685
Dim 24,0.013570275916060784,0.014051280862191885,0.011299926405055609,0.014406025801325485
Dim 25,0.01155268370418953,0.029646528184035025,0.015313437756977707,0.012541241525127474
Dim 26,0.015736779985783128,0.032946319992523,0.014072052717098348,0.011087898556015455
Dim 27,0.01689129015211545,0.018578881790357576,0.013272615364510229,0.014027627574404152
Dim 28,0.011560162722792238,0.013759477888824706,0.013858289916267355,0.019961107957511225
Dim 29,0.01439002333729283,0.022287616573762235,0.013324530591573073,0.01608375529280958
Dim 30,0.011835267173806749,0.011775528225667208,0.018436204488108187,0.026442571448124362
Dim 31,0.01777580105317744,0.012519485799998935,0.02800802825223136,0.01433903843491491
Dim 32,0.01792396423849289,0.015260412211538505,0.011921826229266914,0.015940016294456853
Dim 33,0.012435885114723771,0.01449467814443245,0.014150580388107575,0.03379614377316086
Dim 34,0.011691305913106518,0.011678040312562143,0.012369199371115466,0.017813719126072436
Dim 35,0.011315458996844658,0.018280232008578347,0.029705923038560636,0.016587015449610575
Dim 36,0.025651323352504175,0.017955433412710876,0.027882816080704708,0.033415825941632546
Dim 37,0.021260097656170523,0.016692515717595235,0.017032182696493144,0.013258996437659912
Dim 38,0.009492565772873503,0.013047054218530259,0.02214707439824574,0.022364523109054103
Dim 39,0.012421785007052788,0.016461685576922035,0.017225225981123665,0.03412606351389104
Dim 40,0.013094981474672798,0.02032918584755159,0.018991797143597916,0.012110119178454712
Dim 41,0.014671087492525818,0.019786206818600816,0.022324791414073397,0.015529463401076065
Dim 42,0.015006365868105711,0.012991041437765988,0.015797073145212552,0.018502930488200387
Dim 43,0.02157868317306785,0.012503503358431239,0.02196561639748482,0.015600095669563477
Dim 44,0.012523812465906736,0.015510353875430821,0.017939747399401677,0.014617736065597646
Dim 45,0.023529061636587127,0.014432473856543728,0.013352222597088174,0.022731087916386127
Dim 46,0.014047055225655814,0.012607664717917053,0.017442063474123384,0.016046728426790308
Dim 47,0.014879484549211135,0.01205338729242709,0.013848847580000273,0.02038355481312585
Dim 48,0.015262910079058244,0.014358144614797449,0.01278079012586601,0.013425855746312916
Dim 49,0.01322734991640744,0.017524695268304948,0.01984556131149468,0.016374752552572442
Dim 50,0.028240016109018686,0.01385374908878621,0.01163254934022828,0.026218230870519364
Dim 51,0.014528792803542771,0.015850992620756996,0.015330098614755186,0.014319975026368758
Dim 52,0.018299010826462594,0.013685623772204652,0.011635637619615275,0.02420200332801954
Dim 53,0.016162287971448648,0.013716401534848075,0.012701301550406783,0.038213875823757563
Dim 54,0.016995869819033886,0.0233308191714804,0.01744848223606284,0.018615955685486057
Dim 55,0.01569606729501426,0.020026104377094237,0.01926092448651949,0.023913773816622387
Dim 56,0.013320063935500129,0.014288723296091259,0.012269746506301072,0.02192812914909468
Dim 57,0.012758962566626088,0.060279541427801606,0.011730699652238047,0.013296825255730577
Dim 58,0.012798152670877016,0.015108321732341943,0.01995397160335609,0.023686287417081824
Dim 59,0.01903126569836014,0.027338491027131203,0.01316232866207352,0.012076979869111507
Dim 60,0.013562527897185761,0.020126747224980472,0.012443384590209067,0.014275694179908878
Dim 61,0.012172601076312151,0.018133605599279224,0.01083233234087144,0.040087981965303617
Dim 62,0.018457471961031802,0.012198641453085834,0.012113033723678241,0.016919866399413917
Dim 63,0.023834574392256124,0.020047731254191018,0.010872116282731702,0.013169345887277202
Dim 64,0.012308740955567226,0.014342449704699063,0.009987519188628871,0.013943395100905148
Dim 65,0.01445792595400379,0.010514856227447628,0.011340034224664085,0.012883719674974618
Dim 66,0.016062519334314178,0.01584035073349485,0.014985060988287027,0.020060003167679565
Dim 67,0.014328807234401681,0.01691809432446688,0.011852040514425188,0.012079113468952721
