Feature,flaubert_base_cased,flaubert_base_uncased,flaubert_large_uncased,flaubert_small_cased,Mean Importance
Dim 626,0.01700310559006214,0.07678310046573529,0.0066925465838509,,0.03349291754654945
Dim 591,0.025551242236024903,0.03856287425149712,0.014468167701863436,,0.026194094729795152
Dim 609,0.01172748447204975,0.050179640718563005,0.00560559006211175,,0.022504238417574835
Dim 167,0.020279503105590114,0.03536260811709921,0.009064440993788858,0.024572981366459627,0.02231988339573445
Dim 169,0.02500388198757768,0.03857950765136409,0.015201863354037295,0.0066692546583850655,0.021363626912841032
Dim 739,0.0239868012422361,0.034787092481703384,0.0035287267080745003,,0.02076754014400466
Dim 691,0.03088897515527954,0.025662009314704047,0.0049456521739129995,,0.020498878881298862
Dim 617,0.010186335403726769,0.04566533599467747,0.002286490683229797,,0.019379387360544675
Dim 752,0.024359472049689496,0.03347970725216247,3.881987577639748e-05,,0.019292666392542786
Dim 36,0.03178959627329201,0.01169993346640061,0.01706133540372676,0.016052018633540437,0.019150720944239953
Dim 702,0.03209627329192549,0.017072521623419927,0.008210403726708107,,0.019126399547351177
Dim 748,0.029623447204969018,0.02449101796407195,0.002697981366459608,,0.018937482178500192
Dim 508,0.0486762422360249,0.011377245508982118,0.009635093167701917,0.005427018633540331,0.01877889988656232
Dim 982,,,0.01876552795031061,,0.01876552795031061
Dim 499,0.04873059006211182,0.015435795076513692,0.00479425465838505,0.00600543478260865,0.018741518644904802
Dim 634,0.0241847826086957,0.023193612774451186,0.008827639751552834,,0.018735345044899907
Dim 225,0.03013198757763984,0.02917831004657363,0.0013431677018633482,0.014118788819875806,0.018693063536488155
Dim 755,0.03000776397515535,0.021084497671324063,0.004712732919254616,,0.018601664855244674
Dim 580,0.012387422360248495,0.04155023286759826,0.0015450310559006134,,0.01849422876124912
Dim 747,0.022868788819875804,0.02233532934131743,0.00977096273291927,,0.01832502696470417
Dim 95,0.01847437888198765,0.03741516966067881,0.0038819875776397172,0.013478260869565297,0.018312449247467867
Dim 251,0.014072204968944176,0.03224218230206259,0.008474378881987581,0.01603649068322985,0.01770631420905605
Dim 656,0.03427018633540382,0.014980039920159737,0.0036995341614906533,,0.017649920139018067
Dim 484,0.04971273291925468,0.00807717897538262,0.002841614906832279,0.00963897515527954,0.01756762548918728
Dim 337,0.026824534161490752,0.022727877578177035,0.0059704968944098834,0.01472826086956526,0.017562792375910734
Dim 596,0.014258540372670879,0.026270791749833735,0.012057453416149114,,0.017528928512884578
Dim 71,0.03720108695652184,0.022781104457751247,0.003734472049689405,0.006230590062111751,0.017486813381518564
Dim 15,0.02630046583850939,0.03371257485029944,0.0056677018633539905,0.004208074534161458,0.017472204271581068
Dim 94,0.007841614906832285,0.04727544910179648,0.00017468944099378883,0.014499223602484533,0.01744774426302677
Dim 558,0.02375776397515534,0.027129075182967487,0.0011723602484471996,,0.017353066468856673
Dim 581,0.02949145962732929,0.018562874251497056,0.0039013975155279147,,0.01731857713145142
Dim 738,0.043672360248447256,0.004121756487025907,0.004056677018633509,,0.01728359791803556
Dim 136,0.017503881987577664,0.033429807052561634,0.005190217391304302,0.012771739130434837,0.01722391139046961
Dim 734,0.007729037267080742,0.03827012641383907,0.005667701863353981,,0.01722228851475793
Dim 13,0.027798913043478344,0.02200266134397875,0.013493788819875816,0.005485248447204919,0.017195152913634458
Dim 564,0.018377329192546633,0.03125748502994022,0.0018322981366459526,,0.017155704119710933
Dim 149,0.0026475155279502872,0.04616101131071203,0.014499223602484538,0.004767080745341577,0.017018707796622106
Dim 657,0.02479425465838515,0.017727877578177037,0.008458850931677059,,0.01699366105607975
Dim 233,0.023583074534161537,0.016091151031270862,0.005970496894409881,0.022267080745341655,0.016977950801295983
Dim 736,0.018913043478260942,0.014843646041250899,0.016525621118012476,,0.016760770212508106
Dim 724,0.023532608695652196,0.017361942781104516,0.009336180124223652,,0.01674357720032679
Dim 651,0.01636257763975162,0.02651363938789101,0.007107919254658361,,0.016661378760767
Dim 228,0.013132763975155339,0.042245508982035974,0.0027523291925465607,0.00839673913043483,0.016631835320043177
Dim 725,0.007239906832298119,0.024703925482368674,0.01763586956521745,,0.016526567293294745
Dim 568,0.027026397515527985,0.015489021956087898,0.006964285714285693,,0.016493235061967194
Dim 562,0.02165372670807457,0.011450432468396617,0.015958850931677024,,0.01635433670271607
