,"('camem_bert_base_embeddings', 1)","('distilled_bert_base_cased', 1)","('flaubert_base_cased', 1)","('flaubert_base_uncased', 1)","('flaubert_large_uncased', 1)","('flaubert_small_cased', 1)","('mbert_base_cased', 1)","('mbert_base_uncased', 1)","('xlmr_r_large', 1)","('xlm_roberta_base', 1)"
Dim 0,0.013925045463601215,0.005982809521153977,0.012370483066304254,0.019074435586340345,0.011425154546370747,0.012511333150686364,0.0,0.016795683801930087,8.367171454861954e-05,0.0
Dim 1,0.025022233685908748,0.010356981578607418,0.015995003685618396,0.013978060939245161,0.012045353468899032,0.012298081335643763,0.0,0.016507049949081042,9.140278009060902e-05,0.0
Dim 2,0.013153241981885942,0.01759434542778741,0.02711338080420998,0.02199359034016689,0.01025685965965858,0.025811688465145054,0.0,0.013349465164336227,9.257258946091315e-05,0.0
Dim 3,0.015289363074689259,0.008119528693355948,0.01563214726491694,0.01720591291225173,0.01287319705660269,0.02177628361608223,0.0,0.012940274434110728,6.2022176026271e-05,0.0
Dim 4,0.011511991869508,0.008155434174964152,0.015626925896996664,0.0191820295585089,0.015790104146493004,0.019760787807583273,0.0,0.011370655865334374,8.77077806738675e-05,0.0
Dim 5,0.013792088704911075,0.007896573932499438,0.013970599591323624,0.012457067032687593,0.020768114932220434,0.030307598618686333,0.0,0.026761009065262176,9.025436521527552e-05,0.0
Dim 6,0.013974277047576908,0.006853660044715358,0.013202089944269623,0.025479311063084115,0.015691475722021477,0.015619215716978286,0.0,0.012988627794138313,9.43876025714997e-05,0.0
Dim 7,0.010390680519834689,0.009299746107835096,0.02815251484461489,0.01342629222094302,0.018964571013234243,0.02798963819846393,0.0,0.01345497705772445,0.00010606661121770751,0.0
Dim 8,0.02500941315976342,0.009300487651179338,0.013330261997986537,0.01479418107639421,0.012195816774415958,0.03377970709116987,0.0,0.016744953589646068,7.491416190204464e-05,0.0
Dim 9,0.014321455253271392,0.008643047949174401,0.02350951135438147,0.014175578474500726,0.011032152782935211,0.019027259788885163,0.0,0.012530604279339923,6.577873005214425e-05,0.0
Dim 10,0.01241224588032784,0.0072564435134688365,0.025683983426484362,0.012077493319358007,0.022645733220311486,0.012067077484242048,0.0,0.013292523932673364,7.934335848140481e-05,0.0
Dim 11,0.01213926577294429,0.006538523353749136,0.0280029540056184,0.03621793780140226,0.012234007729554044,0.027614780238805505,0.0,0.012143899018133692,6.209077628993856e-05,0.0
Dim 12,0.018833935926430696,0.008317415770925542,0.013471804963924786,0.012500241382539603,0.014826790503707781,0.018131886013959025,0.0,0.013417343349603513,6.361515860324655e-05,0.0
Dim 13,0.010004961266774876,0.006295084722979817,0.014717097349071466,0.026186272459884242,0.011080735174840364,0.014542956570549756,0.0,0.011110451705247925,0.00011850386563726659,0.0
Dim 14,0.011745005021328246,0.00784352548519038,0.01160272182995072,0.011425821867362755,0.011887409386460908,0.014771344537895676,0.0,0.014267292740013723,9.730405370257706e-05,0.0
Dim 15,0.014705735424801214,0.0062789970621190405,0.018407968745586235,0.017180690118604278,0.01607004996114149,0.014976364361023085,0.0,0.016006585871202794,7.571485828339726e-05,0.0
Dim 16,0.012575745873883515,0.00741229243996468,0.014600608709098952,0.019617741931532852,0.013646386994190397,0.010976863324941917,0.0,0.02479561233673577,0.0001277772211040911,0.0
Dim 17,0.011595593049496585,0.009605383931876951,0.01630824145941728,0.046180307106826884,0.013025652738647623,0.018890906029336643,0.0,0.014026699415118719,6.582605775794257e-05,0.0
Dim 18,0.014585567438844146,0.007298748367666243,0.01333635167307125,0.015536563822261507,0.012992218511919748,0.012926211904003346,0.0,0.015605673442228215,8.187403584064726e-05,0.0
Dim 19,0.019901538718848977,0.007123650695315222,0.01836349639694132,0.0249939653771893,0.01927336500652589,0.022185267491409526,0.0,0.014095610571419465,0.00011491819134059043,0.0
Dim 20,0.01321184783736888,0.011191684357836254,0.01157206397863391,0.01617216406640057,0.010993801794890219,0.013100999277575388,0.0,0.012281393837813372,0.00013805881881484032,0.0
Dim 21,0.015157004066557546,0.007272436391616459,0.02791221122539758,0.026344145373473744,0.01741791263920263,0.021459659614645712,0.0,0.015104816889807362,8.025950437442697e-05,0.0
Dim 22,0.013240966512504032,0.008913593558344672,0.011293812858252684,0.015546294736531348,0.011140753590671886,0.014055888402995848,0.0,0.012029017226253347,0.0001028448053251181,0.0
Dim 23,0.05776124987379931,0.009765331445454231,0.017414121752982438,0.01630398767779144,0.011900333929233753,0.019161119891625403,0.0,0.01246594569129799,8.511781515529711e-05,0.0
Dim 24,0.01779157021846663,0.007832541629691794,0.012641187120599725,0.015359584701993825,0.013256818414721686,0.01244872107788311,0.0,0.010676767972416129,0.00011341580512556951,0.0
Dim 25,0.021378610203630334,0.013653691267040564,0.012439065722832356,0.012819158183373855,0.01364092282487345,0.012405707640635175,0.0,0.015160916999589382,9.721553992160288e-05,0.0
Dim 26,0.012454387696885985,0.008206615112519468,0.020193479126416357,0.012994082095478487,0.013847337331731956,0.011778616897157578,0.0,0.013187248127418205,5.9943559726476755e-05,0.0
Dim 27,0.012828438444851644,0.012556099014935188,0.01457923146942871,0.028715786818051654,0.03433185623279289,0.01362664723155077,0.0,0.015133074950103374,6.003322890199394e-05,0.0
Dim 28,0.013543503334815715,0.008331774007240217,0.011961007004458122,0.014372834789071287,0.015172476658717673,0.02065066814019308,0.0,0.012933529083498091,5.9475585197089e-05,0.0
Dim 29,0.025061585060148054,0.0090587154634349,0.01250806584970308,0.011412829077036198,0.011677378909859504,0.011429970769215403,0.0,0.015746136925718707,9.333587759245354e-05,0.0
Dim 30,0.012486861146717716,0.00791753839247746,0.013199662281655611,0.015922140544887595,0.01544148132807966,0.013676011794088032,0.0,0.010645740045261365,7.30757940015669e-05,0.0
Dim 31,0.020077676354560908,0.00593851236028555,0.011692686408517117,0.013331144712157447,0.013740531070442713,0.013960132867648696,0.0,0.01221184849409015,0.00011397787743847078,0.0
Dim 32,0.012019973960888932,0.00790119105431503,0.018316267086492616,0.012804910848118127,0.013733551401697682,0.013438892951602137,0.0,0.012196949525714342,6.347774049409161e-05,0.0
Dim 33,0.013360177139284278,0.008250455702920788,0.026326975073162492,0.014020559442947535,0.012207791790462162,0.01410462436943427,0.0,0.01143763367724687,0.00010560229069731982,0.0
Dim 34,0.012973031656620917,0.005616358058240809,0.011536812580049903,0.013042154902852305,0.025612512603483864,0.01229508411727048,0.0,0.011376718685801214,0.0001088745842714402,0.0
Dim 35,0.015811759215467493,0.006941474235617123,0.011075396522085088,0.015260307092094041,0.012417785076170713,0.026683060264402512,0.0,0.028622307321724903,8.657596963689145e-05,0.0
Dim 36,0.012420380350195095,0.012189294277774773,0.01937504988360121,0.013624804795267524,0.010955365717387233,0.030849408684118517,0.0,0.013170260870018583,9.868769998432101e-05,0.0
Dim 37,0.013524178520379283,0.00932698857252092,0.012035061499936476,0.016575418797541173,0.011102293462057133,0.014777437562882896,0.0,0.012768282176765785,4.887731322302836e-05,0.0
Dim 38,0.013956514712614191,0.010289337132757023,0.013896558660629499,0.01346330895982856,0.01694016237963942,0.01236845118464072,0.0,0.017826671666403872,5.373106758156335e-05,0.0
Dim 39,0.020570389369914475,0.010296175214569731,0.0143135752138035,0.02417272284250206,0.01776071572556611,0.017209130815540156,0.0,0.011549132552842753,7.08247854154603e-05,0.0
Dim 40,0.014861859766689913,0.008143970130096203,0.01529938040417968,0.02204229257676204,0.013375153956350905,0.020401771432405832,0.0,0.01002104399682865,6.468429936377963e-05,0.0
Dim 41,0.01241601608077048,0.0076426879473515605,0.018290038746404468,0.02539245065794479,0.021562025947677674,0.014008011210489639,0.0,0.013685369225667328,8.315507462895238e-05,0.0
Dim 42,0.030602908487779273,0.0062255210535586735,0.012906390412760113,0.01925293382681704,0.019201366847632618,0.03460765108140403,0.0,0.013354134573846798,9.416752335401137e-05,0.0
Dim 43,0.013563219304194176,0.008298008762472943,0.013090201451760134,0.01590921533468462,0.013478211496013859,0.013144868328817172,0.0,0.010796903363079383,6.146981564330536e-05,0.0
Dim 44,0.011805341734108722,0.006868101606839097,0.013515363259155418,0.024378204668128397,0.013268024493307773,0.02163677145428115,0.0,0.012139888388236651,6.163769016988163e-05,0.0
Dim 45,0.01958243793603972,0.008625192786802488,0.012253804556698243,0.018416665986198337,0.01198253541093287,0.02294653365663647,0.0,0.011737480952839522,0.00011154418313492518,0.0
Dim 46,0.012687879166786629,0.007261894569347189,0.013633478376830033,0.011679359903300997,0.02726092546781563,0.012453823012564546,0.0,0.010768754842332178,7.498722880535536e-05,0.0
Dim 47,0.015029619656463948,0.007481072027318835,0.019356918553391708,0.013136454780903258,0.01351575353621062,0.017327360470389935,0.0,0.01807544009556841,0.00011813095002765725,0.0
Dim 48,0.013643994534717336,0.007999210424996146,0.021638541353404345,0.031246545691203664,0.01310176379362431,0.01324853921738292,0.0,0.018612126069978037,6.738419189351192e-05,0.0
Dim 49,0.01067616596644624,0.013113145009125669,0.013729530837590433,0.012857966747115156,0.012689610583434333,0.01513120206879185,0.0,0.029027135727227916,9.171309023922411e-05,0.0
Dim 50,0.016611690871553956,0.009422235763342477,0.025685157338909144,0.019000192475106165,0.01244262225035126,0.01837557919647185,0.0,0.013768922880926735,8.009196704587188e-05,0.0
Dim 51,0.014386381865727688,0.005659418619837094,0.012312314194289626,0.020331490354504315,0.011510981543330717,0.032749594396368625,0.0,0.012363736118746528,8.717785407234312e-05,0.0
Dim 52,0.031062589122812245,0.00804339056048933,0.025718547596942667,0.02481987610016965,0.015512531738147126,0.0220954852200924,0.0,0.020464377769959064,9.636807321593663e-05,0.0
Dim 53,0.018053928183132673,0.009321423259079347,0.01747999149239136,0.02702752047947957,0.014589874623013453,0.01806860023420084,0.0,0.01323888308903926,9.747518733478298e-05,0.0
Dim 54,0.01492829216629434,0.011687717706742035,0.014083130614277168,0.02014502068329892,0.012076304224428269,0.03365951827078378,0.0,0.012231537902934386,8.698674665556921e-05,0.0
Dim 55,0.014054775360068992,0.008241376369401197,0.016243740626227333,0.012698504017189407,0.017721097682566668,0.037284769613567144,0.0,0.011395663403458654,0.00011905682646018735,0.0
Dim 56,0.011054773301065439,0.008299130353730675,0.016797351565037012,0.012217839860588475,0.03529395955539521,0.03924265350566707,0.0,0.039980922318961123,7.478341452222907e-05,0.0
Dim 57,0.01399309292112038,0.014082006375837572,0.013842229636656439,0.01584106594072301,0.012884564666302651,0.023241988865914828,0.0,0.011585953106004937,8.179435124841307e-05,0.0
Dim 58,0.015128741136913497,0.006624543130771444,0.023579081887242892,0.020160477177088718,0.01494611686828511,0.015676986871292882,0.0,0.010369356992527546,7.321691306576694e-05,0.0
Dim 59,0.01473077541841408,0.007586034069323943,0.012888947467501275,0.01833435811850043,0.0190274535215572,0.012051811389346388,0.0,0.010881204480947563,9.516398903241845e-05,0.0
Dim 60,0.016864332723586246,0.0052997495617372785,0.014661850065851183,0.014772283607245435,0.013174966302195721,0.024255441019381176,0.0,0.011233736809429197,7.276747788601618e-05,0.0
Dim 61,0.01404165224763177,0.007093543638815909,0.013217307643791434,0.015214483036521462,0.014346193278791108,0.03294136616345923,0.0,0.014827586520784957,9.794888506841041e-05,0.0
Dim 62,0.016368202998839475,0.0074535537451034355,0.019702309319653315,0.012523953964930156,0.011729221511095204,0.02117106449542684,0.0,0.011979484466295175,6.597345697664752e-05,0.0
Dim 63,0.015892564592639224,0.009279372597735976,0.012920658275505925,0.011924214398431079,0.013997887497742606,0.02134440930809269,0.0,0.01065823490007639,5.237094935096979e-05,0.0
Dim 64,0.012705919695385958,0.00828169570310816,0.013345086012269565,0.013853033672849764,0.011831870819115246,0.04645753464545889,0.0,0.012211771828469517,7.794444461878273e-05,0.0
Dim 65,0.011740748803037227,0.007360382380132181,0.016193590231954783,0.01911651891724296,0.01417112208600238,0.015163383358143758,0.0,0.012571624901068296,9.223179307455037e-05,0.0
Dim 66,0.011177902093863835,0.00906447691411438,0.018450001701787188,0.02283783499769478,0.043826975415297446,0.020121363803342947,0.0,0.02394956812812201,0.0001064887556978232,0.0
Dim 67,0.011570471775567305,0.009443131861844575,0.016056505512268688,0.020352928773503722,0.024832606925907608,0.019301400550096375,0.0,0.01241383490308853,0.0001007606230985024,0.0
Dim 68,0.013971503696270291,0.007628730605227531,0.028967050097949514,0.031326049325354516,0.014678927398325636,0.0158669517123697,0.0,0.01434322645558749,0.00010646809552365193,0.0
Dim 69,0.02141367665541489,0.00780239459262329,0.013776366237377782,0.022903669662405396,0.013517152357768689,0.01577509800706572,0.0,0.01497001868652119,4.125960087876668e-05,0.0
Dim 70,0.012328603100663311,0.017165417367674424,0.02925627794214065,0.014440328148879595,0.01105375537281805,0.015070559970311632,0.0,0.012209857715985591,9.089968801039366e-05,0.0
Dim 71,0.02562606751687342,0.008552895676250998,0.02551949864609799,0.012223362417283052,0.02682766342790801,0.013391967800172691,0.0,0.011680532640315093,0.00014580096944822324,0.0
Dim 72,0.011812925716826279,0.010857480885972277,0.01586474002652683,0.012704395405516091,0.010643728721138286,0.02589272499023376,0.0,0.030855952327350854,0.00010382302120047536,0.0
