Feature,camem_bert_base_embeddings,distilled_bert_base_cased,flaubert_base_cased,flaubert_base_uncased,flaubert_large_uncased,flaubert_small_cased,mbert_base_cased,mbert_base_uncased,xlmr_r_large,xlm_roberta_base,Mean Importance
Dim 1012,,,,,0.01738014981273423,,,,0.05253272251308913,,0.03495643616291168
Dim 971,,,,,0.01836329588014999,,,,0.03960732984293197,,0.02898531286154098
Dim 453,0.005313001605136436,0.013850641773628969,0.02114606741573051,0.02509332925336618,0.01034456928838957,0.026715355805243535,0.10703033838973165,0.038046407185628905,0.019581151832460765,0.0011452879581151838,0.026826615050743168
Dim 934,,,,,0.024552434456928954,,,,0.028337696335078582,,0.026445065396003768
Dim 198,0.05239967897271297,0.013961493582263727,0.00600561797752819,0.02964810281517766,0.010734082397003802,0.043430711610487074,0.06267794632438752,0.012758233532934213,0.02290575916230371,0.0016361256544502598,0.025615775202924913
Dim 897,,,,,0.022576779026217433,,,,0.028527486910994795,,0.025552132968606114
Dim 838,,,,,0.00836142322097386,,,,0.04175392670157071,,0.025057674961272286
Dim 875,,,,,0.025990636704119986,,,,0.02310209424083772,,0.024546365472478855
Dim 873,,,,,0.022009363295880293,,,,0.026681937172774894,,0.024345650234327595
Dim 851,,,,,0.0004063670411985017,,,,0.04802356020942416,,0.02421496362531133
Dim 840,,,,,0.020172284644194922,,,,0.028010471204188515,,0.02409137792419172
Dim 1022,,,,,0.034003745318352235,,,,0.013900523560209425,,0.02395213443928083
Dim 789,,,,,0.017679775280899056,,,,0.03017670157068067,,0.023928238425789863
Dim 844,,,,,0.023350187265917727,,,,0.024410994764397956,,0.02388059101515784
Dim 826,,,,,0.0072677902621723625,,,,0.040366492146596926,,0.023817141204384645
Dim 994,,,,,0.027192883895131192,,,,0.020248691099476482,,0.023720787497303837
Dim 958,,,,,0.014421348314606902,,,,0.03237565445026183,,0.023398501382434368
Dim 120,0.011974317817014525,0.022812135355892646,0.00045505617977527953,0.0057802937576500076,0.023146067415730495,0.014556179775281052,0.10518669778296397,0.04107784431137729,0.0003468586387434553,0.0055562827225130625,0.02308917337569418
Dim 644,0.026008560727662004,0.012298716452742133,0.005749063670412084,0.04589963280293746,0.00011985018726591764,,0.04183197199533259,0.052877994011976175,0.01810209424083774,0.0017866492146596804,0.022741614811536203
Dim 972,,,,,0.01339138576779037,,,,0.031544502617801076,,0.022467944192795724
Dim 758,0.006415195291599836,0.016516919486581124,0.002835205992509321,0.001383108935128501,0.008039325842696688,,0.12902567094515757,0.027765718562874353,0.0033442408376963195,0.006289267015706773,0.022401628101105613
Dim 336,0.01203317281968973,0.02329054842473749,0.003335205992509345,0.023670440636475058,0.0053745318352060945,0.01484456928838964,0.0839848308051343,0.011208832335329414,0.035445026178010514,0.010543193717277426,0.022373035203275903
Dim 804,,,,,0.010179775280898916,,,,0.03435209424083777,,0.022265934760868345
Dim 864,,,,,0.03186329588014999,,,,0.011839005235602067,,0.021851150557876026
Dim 855,,,,,0.020003745318352237,,,,0.02318062827225135,,0.021592186795301796
Dim 922,,,,,0.020449438202247337,,,,0.022611256544502654,,0.021530347373374996
Dim 762,0.0025655430711610263,0.04645274212368724,0.026582397003745498,0.010953182374541078,0.01997940074906379,,0.033173862310385105,0.030804640718562988,0.022532722513089035,0.0006937172774869109,0.021526467571302516
Dim 91,0.040002675227394445,0.015443407234539122,0.03255243445692894,0.007164932680538597,0.007586142322097436,0.01202621722846446,0.031586931155192594,0.041115269461077984,0.010183246073298378,0.016727748691099508,0.021438900453063146
Dim 871,,,,,0.006792134831460759,,,,0.03600785340314136,,0.02139999411730106
Dim 56,0.004242910647404983,0.011341890315052493,0.015874531835206096,0.005953182374541065,0.03353558052434472,0.028204119850187424,0.028278879813302304,0.05637350299401216,0.024653141361256584,0.004227748691099457,0.02126854884064073
Dim 919,,,,,0.023960674157303546,,,,0.01844240837696339,,0.02120154126713347
Dim 568,0.00843766720171225,0.024235705950991865,0.02057116104868929,0.01973837209302347,0.008453183520599306,,0.0691540256709453,0.024483532934131746,0.009666230366492097,0.0050065445026177815,0.021082935921022564
Dim 810,,,,,0.0030543071161048306,,,,0.03899869109947642,,0.021026499107790628
Dim 170,0.014325842696629235,0.023996499416569474,0.019779026217228674,0.013416462668298795,0.0031872659176029644,0.02072846441947585,0.04540840140023338,0.03161302395209592,0.03500000000000004,0.0022840314136125597,0.020973901810174687
Dim 600,0.048346709470305164,0.009667444574095633,0.016760299625468312,0.015830783353733332,0.006632958801498211,,0.03583430571761961,0.012481287425149779,0.04119764397905767,0.00016361256544502605,0.020768338390263638
Dim 632,0.012292669876939619,0.03392648774795803,0.010533707865168565,0.009088127294981695,0.018382022471910314,,0.04790548424737458,0.03213697604790431,0.017369109947644013,0.003671465968586371,0.020589561274274165
Dim 282,0.024705724986624045,0.054189031505250895,0.005204119850187343,0.021092411260710122,0.010582397003745386,0.027602996254681836,0.025204200700116728,0.03004116766467076,0.005994764397905725,0.0006413612565445028,0.020525817488043736
Dim 332,0.016856607811664048,0.013208868144690805,0.029795880149812933,0.0031196450428396735,0.008655430711610526,0.029170411985018893,0.011306884480746796,0.06442365269461083,0.026897905759162337,0.0011060209424083773,0.02045413077225652
Dim 465,0.07968967362225789,0.007712952158693069,0.04225280898876422,0.010122399020807896,0.00915730337078657,0.00207865168539323,0.0070536756126020495,0.018188622754491065,0.02543848167539271,0.002467277486910989,0.02041618463760997
Dim 861,,,,,0.0021235955056179484,,,,0.038003926701570725,,0.020063761103594337
Dim 470,0.032244515783841805,0.03910151691948662,0.026241573033708044,0.00938494492044064,0.011417602996254763,0.0201816479400751,0.02177362893815638,0.011968562874251566,0.027048429319371764,7.853403141361256e-05,0.01994409567570003
Dim 931,,,,,0.01580898876404507,,,,0.02407068062827228,,0.019939834696158676
Dim 782,,,,,0.013631086142322234,,,,0.026001308900523618,,0.019816197521422926
Dim 451,0.015658105939004845,0.02787047841306887,0.013960674157303501,0.0006058751529987707,0.007434456928839022,0.014734082397003877,0.016476079346557773,0.08402694610778463,0.013933246073298445,0.003108638743455485,0.01978085832593152
Dim 859,,,,,0.011870786516853983,,,,0.02758507853403144,,0.01972793252544271
Dim 161,0.030304975922953625,0.019311551925320938,0.008059925093633034,0.03719094247246043,0.017353932584269816,0.019599250936329794,0.03546674445740959,0.008802395209580873,0.018036649214659712,0.0022578534031413556,0.019638422121975918
Dim 848,,,,,0.005144194756554386,,,,0.03410340314136127,,0.019623798948957827
Dim 731,0.013132691278758745,0.018938156359393284,0.008647940074906407,0.03402845777233807,0.005348314606741651,,0.05090431738623109,0.009614520958083878,0.01361256544502618,0.02236910994764402,0.019621785981013704
Dim 866,,,,,0.007792134831460739,,,,0.031184554973822054,,0.019488344902641397
Dim 277,0.026661316211878148,0.005268378063010469,0.017539325842696792,0.013633720930232749,0.004612359550561853,0.018022471910112508,0.07219953325554274,0.030703592814371402,0.0026963350785340215,0.0033835078534031255,0.019472054151034382
Dim 66,0.0052140181915462875,0.017572928821470303,0.019955056179775457,0.019918910648715007,0.040181647940075164,0.016885767790262327,0.019334889148191415,0.04561377245508991,0.00776178010471199,0.0010013089005235605,0.01934400801803614
Dim 714,0.0533279828785447,0.024060676779463285,0.010271535580524386,0.0018023255813953232,0.01061048689138583,,0.023628938156359462,0.03580838323353306,0.01278141361256544,0.001217277486910995,0.019278780022298055
Dim 310,0.010834670947030556,0.0240431738623104,0.01652996254681664,0.016407588739290282,0.012481273408239808,0.023280898876404676,0.006096849474912445,0.040437874251497107,0.04017670157068068,0.0024934554973821948,0.01927824491745648
Dim 559,0.01674959871589088,0.01620186697782968,0.007267790262172351,0.010847613219094339,0.012514981273408308,,0.06671528588098016,0.034539670658682735,0.00820026178010466,2.61780104712042e-05,0.01922924964207048
Dim 555,0.005516318887105427,0.023127187864644145,0.011644194756554361,0.004303855569155529,0.008020599250936403,,0.047473745624270765,0.0651946107784432,0.006243455497382168,0.00019633507853403145,0.01908003370078067
Dim 915,,,,,0.014368913857678028,,,,0.023664921465968606,,0.019016917661823316
Dim 167,0.012351524879614838,0.01871061843640612,0.02371535580524357,0.03374694002448005,0.011235955056179817,0.00268726591760296,0.003028004667444559,0.04901197604790428,0.03268324607329848,0.0025130890052355967,0.018968397591341026
Dim 347,0.02577314071696105,0.0201983663943991,0.0403033707865171,0.022731028151775027,0.011990636704119909,0.008807116104868977,0.025046674445741,0.012193113772455164,0.02099476439790583,0.0016164921465968555,0.018965470362133998
Dim 587,0.005949705724986653,0.01242123687281213,0.060222846441947635,0.020494186046511813,0.004346441947565578,,0.006435239206534384,0.04052020958083836,0.01914921465968592,0.0010602094240837702,0.018955476656107362
Dim 482,0.015524344569288449,0.017683780630105072,0.01250561797752817,0.02223990208078356,0.006926966292134909,0.022640449438202356,0.018698949824970838,0.06299401197604802,0.009594240837696283,0.0006937172774869113,0.018950198090424454
Dim 811,,,,,0.0009737827715355714,,,,0.03687172774869113,,0.01892275526011335
Dim 1016,,,,,0.011269662921348367,,,,0.026426701570680663,,0.018848182246014516
Dim 391,0.022734082397003887,0.0172287047841307,0.00498689138576785,0.027954406364749336,0.017327715355805434,0.04276966292134847,0.024859976662777165,0.006171407185628699,0.01928010471204192,0.005111256544502594,0.018842420831375606
Dim 163,0.01831995719636174,0.010962660443407208,0.028728464419475793,0.005406976744186134,0.011301498127340876,0.014696629213483262,0.024801633605600972,0.050232035928143765,0.023448952879581174,0.0002814136125654449,0.01881802221701464
Dim 209,0.007410379882290062,0.030904317386231096,0.0006029962546816442,0.021493268053855732,0.02783707865168557,0.034947565543071345,0.021143523920653492,0.019165419161676658,0.023331151832460754,0.00014397905759162296,0.018697967974419798
Dim 191,0.014098448368111307,0.02609101516919491,0.007022471910112446,0.05811352509179898,0.012561797752809089,0.010213483146067464,0.0032438739789964837,0.03023203592814379,0.018475130890052368,0.006924083769633471,0.018697586600492026
Dim 325,0.012867843766720198,0.021225204200700152,0.006623595505618051,0.020096389228886423,0.01007303370786522,0.035112359550561946,0.06113768961493591,0.005782185628742466,0.007833769633507806,0.00551701570680626,0.01862690865443444
Dim 666,0.033857677902621924,0.00958576429404896,0.028456928838951456,0.022227662178702694,0.016921348314606902,,0.01473162193698952,0.010973053892215617,0.02885471204188487,0.001269633507853403,0.0185420447675417
Dim 593,0.022225789192081524,0.011966161026837795,0.009580524344569357,0.006179620563035554,0.024024344569288564,,0.010589264877479554,0.06584206586826362,0.012931937172774863,0.0035340314136125487,0.018541526558660374
Dim 98,0.0164579989299091,0.0006417736289381564,0.007885767790262243,0.010044369645042881,0.01258239700374538,0.015074906367041343,0.0823978996499416,0.0217402694610779,0.01079842931937167,0.007107329842931895,0.01847311416382622
Dim 142,0.02526752273943302,0.023162193698949864,0.02698689138576795,0.005477356181150635,0.019441947565543252,0.01612734082397015,0.01425904317386232,0.03143712574850303,0.02240183246073305,0.00013089005235602106,0.018469214383026927
Dim 614,0.01596575708935261,0.009375729288214634,0.011717228464419567,0.02796052631578971,0.001857677902621701,,0.0533722287047842,0.027223053892215635,0.017519633507853436,0.0009489528795811522,0.01843786533831474
Dim 821,,,,,0.0065205992509364185,,,,0.03034685863874349,,0.018433728944839953
Dim 683,0.022089352594970683,0.028500583430571807,0.016116104868913995,0.02341493268053876,0.005168539325842772,,0.0147607934655776,0.03898952095808395,0.013553664921465949,0.0021662303664921403,0.018306635845828628
Dim 671,0.02653023006955607,0.03852392065344228,0.008970037453183595,0.012420440636475056,0.03443820224719122,,0.01642940490081683,0.022477544910179666,0.004496073298429296,0.00020942408376963356,0.018277253139227075
Dim 894,,,,,0.007131086142322185,,,,0.029358638743455526,,0.018244862442888855
Dim 214,0.013550026752273982,0.037502917152858826,0.011559925093632994,0.01972001223990224,0.014468164794007648,0.02823782771535599,0.008302217036172644,0.03163922155688629,0.012329842931937158,0.003874345549738207,0.018118450082276596
Dim 643,0.010813269127875908,0.05132438739789964,0.02187078651685407,0.009931150550795647,0.0015205992509363104,,0.012164527421236882,0.03945359281437136,0.00932591623036644,0.006092931937172745,0.01805524013861211
Dim 52,0.026308186195826828,0.027882147024504148,0.024316479400749186,0.023235924112607317,0.010453183520599306,0.014449438202247299,0.0228821470245041,0.012518712574850367,0.015556282722513097,0.0024934554973821904,0.018009595627578385
Dim 914,,,,,0.007958801498127405,,,,0.02804973821989531,,0.01800426985901136
Dim 802,,,,,0.0058670411985019605,,,,0.029921465968586428,,0.017894253583544194
Dim 147,0.05311931514178724,0.02012252042007008,0.014275280898876525,0.0284470624235008,0.0015973782771535386,0.016595505617977718,0.006942823803967277,0.01431886227544917,0.019744764397905804,0.003304973821989517,0.017846848707867763
